iter	Passed	Remaining
0	53	53520
1	61	30753
2	70	23367
3	79	19860
4	89	17888
5	96	16041
6	107	15315
7	115	14381
8	125	13827
9	136	13473
10	144	12987
11	154	12752
12	163	12393
13	173	12186
14	180	11885
15	190	11720
16	199	11522
17	208	11386
18	216	11166
19	225	11070
20	236	11035
21	246	10950
22	256	10903
23	267	10898
24	277	10812
25	287	10771
26	296	10694
27	305	10594
28	316	10597
29	324	10502
30	336	10527
31	345	10441
32	355	10409
33	366	10422
34	374	10330
35	386	10349
36	397	10351
37	405	10261
38	415	10245
39	424	10183
40	434	10161
41	440	10049
42	452	10059
43	462	10053
44	472	10030
45	484	10047
46	494	10033
47	503	9995
48	513	9957
49	522	9920
50	533	9920
51	541	9876
52	549	9818
53	557	9766
54	566	9739
55	579	9768
56	590	9762
57	600	9749
58	610	9744
59	620	9713
60	629	9682
61	637	9651
62	648	9646
63	659	9651
64	668	9619
65	680	9629
66	692	9640
67	701	9609
68	711	9606
69	721	9583
70	732	9583
71	744	9595
72	751	9542
73	762	9541
74	771	9520
75	781	9497
76	791	9491
77	801	9474
78	811	9465
79	822	9460
80	832	9441
81	843	9448
82	854	9440
83	864	9430
84	875	9427
85	885	9409
86	895	9402
87	904	9375
88	913	9345
89	921	9318
90	932	9314
91	944	9320
92	953	9303
93	964	9295
94	976	9303
95	985	9281
96	996	9276
97	1007	9268
98	1015	9238
99	1027	9249
100	1036	9227
101	1065	9376
102	1087	9470
103	1139	9820
104	1149	9795
105	1168	9853
106	1182	9869
107	1193	9855
108	1204	9848
109	1212	9811
110	1222	9788
111	1232	9769
112	1243	9758
113	1254	9750
114	1264	9728
115	1274	9712
116	1282	9676
117	1293	9666
118	1301	9638
119	1311	9615
120	1322	9609
121	1331	9580
122	1342	9570
123	1354	9569
124	1361	9533
125	1372	9518
126	1383	9508
127	1392	9486
128	1402	9468
129	1409	9435
130	1421	9431
131	1429	9400
132	1440	9388
133	1455	9403
134	1466	9397
135	1474	9364
136	1483	9347
137	1491	9317
138	1503	9311
139	1512	9293
140	1523	9284
141	1533	9268
142	1541	9240
143	1552	9230
144	1561	9204
145	1569	9183
146	1581	9176
147	1592	9166
148	1602	9153
149	1610	9126
150	1621	9116
151	1631	9101
152	1639	9075
153	1652	9076
154	1660	9052
155	1670	9038
156	1679	9019
157	1687	8992
158	1699	8989
159	1709	8974
160	1721	8969
161	1731	8955
162	1738	8927
163	1748	8913
164	1757	8892
165	1767	8877
166	1777	8866
167	1788	8856
168	1797	8837
169	1804	8811
170	1814	8794
171	1821	8768
172	1830	8749
173	1839	8731
174	1847	8711
175	1855	8685
176	1863	8665
177	1874	8654
178	1882	8636
179	1892	8622
180	1900	8600
181	1909	8583
182	1919	8569
183	1928	8553
184	1937	8534
185	1949	8532
186	1962	8530
187	1969	8504
188	1979	8492
189	1989	8483
190	1997	8461
191	2006	8444
192	2014	8422
193	2024	8410
194	2034	8397
195	2045	8391
196	2058	8390
197	2067	8374
198	2079	8372
199	2090	8360
200	2097	8338
201	2107	8327
202	2117	8313
203	2127	8302
204	2136	8287
205	2147	8276
206	2160	8274
207	2170	8263
208	2177	8241
209	2187	8229
210	2195	8209
211	2206	8201
212	2216	8188
213	2228	8183
214	2238	8172
215	2246	8152
216	2255	8140
217	2267	8134
218	2275	8116
219	2284	8101
220	2292	8081
221	2302	8070
222	2310	8051
223	2320	8038
224	2329	8025
225	2339	8013
226	2348	7996
227	2360	7992
228	2370	7979
229	2376	7957
230	2386	7943
231	2393	7922
232	2402	7909
233	2409	7888
234	2421	7882
235	2430	7867
236	2439	7855
237	2452	7852
238	2459	7832
239	2470	7821
240	2481	7815
241	2490	7802
242	2501	7792
243	2512	7783
244	2520	7767
245	2528	7749
246	2536	7732
247	2544	7714
248	2552	7699
249	2559	7679
250	2569	7667
251	2577	7651
252	2587	7639
253	2599	7634
254	2610	7626
255	2618	7609
256	2626	7593
257	2636	7582
258	2648	7576
259	2657	7563
260	2668	7555
261	2676	7538
262	2685	7525
263	2698	7522
264	2706	7505
265	2715	7492
266	2723	7475
267	2733	7467
268	2742	7453
269	2751	7438
270	2761	7427
271	2770	7414
272	2782	7409
273	2793	7402
274	2801	7386
275	2811	7374
276	2818	7356
277	2828	7347
278	2836	7329
279	2845	7317
280	2854	7303
281	2865	7295
282	2873	7281
283	2885	7274
284	2895	7263
285	2903	7248
286	2912	7235
287	2919	7218
288	2930	7210
289	2939	7197
290	2947	7182
291	2959	7175
292	2966	7159
293	2976	7148
294	2986	7136
295	2997	7128
296	3006	7115
297	3014	7102
298	3027	7096
299	3035	7083
300	3044	7069
301	3057	7065
302	3070	7063
303	3085	7064
304	3110	7087
305	3145	7133
306	3161	7137
307	3173	7131
308	3185	7124
309	3207	7139
310	3217	7129
311	3226	7115
312	3237	7106
313	3245	7090
314	3255	7079
315	3262	7062
316	3271	7049
317	3283	7041
318	3291	7025
319	3301	7014
320	3309	7000
321	3320	6990
322	3330	6981
323	3338	6965
324	3346	6949
325	3353	6934
326	3362	6919
327	3372	6909
328	3382	6898
329	3392	6887
330	3401	6874
331	3409	6860
332	3420	6851
333	3429	6838
334	3437	6824
335	3446	6811
336	3456	6799
337	3465	6788
338	3472	6771
339	3482	6760
340	3489	6744
341	3499	6732
342	3509	6722
343	3517	6708
344	3525	6693
345	3535	6682
346	3547	6675
347	3556	6662
348	3568	6657
349	3577	6643
350	3584	6628
351	3592	6613
352	3600	6599
353	3608	6585
354	3618	6574
355	3629	6566
356	3639	6555
357	3650	6546
358	3660	6536
359	3668	6522
360	3680	6515
361	3688	6501
362	3698	6490
363	3709	6480
364	3719	6470
365	3730	6462
366	3739	6449
367	3746	6434
368	3753	6419
369	3763	6408
370	3775	6401
371	3784	6388
372	3796	6381
373	3805	6369
374	3813	6355
375	3824	6347
376	3832	6332
377	3843	6324
378	3852	6311
379	3863	6303
380	3871	6290
381	3879	6276
382	3890	6267
383	3897	6252
384	3908	6243
385	3919	6234
386	3933	6230
387	3943	6220
388	3951	6206
389	3960	6195
390	3969	6182
391	3977	6169
392	3990	6162
393	3998	6150
394	4010	6142
395	4021	6134
396	4029	6120
397	4041	6113
398	4050	6101
399	4059	6089
400	4067	6075
401	4075	6062
402	4084	6051
403	4094	6039
404	4105	6032
405	4113	6019
406	4124	6009
407	4135	6000
408	4143	5987
409	4154	5978
410	4161	5964
411	4173	5956
412	4185	5948
413	4193	5935
414	4203	5924
415	4212	5913
416	4223	5905
417	4233	5895
418	4241	5881
419	4249	5868
420	4257	5855
421	4269	5847
422	4276	5833
423	4287	5824
424	4295	5811
425	4307	5803
426	4319	5796
427	4326	5782
428	4337	5773
429	4347	5763
430	4357	5752
431	4369	5745
432	4377	5731
433	4386	5721
434	4395	5709
435	4406	5699
436	4417	5691
437	4427	5680
438	4436	5669
439	4444	5656
440	4452	5644
441	4464	5636
442	4474	5625
443	4484	5615
444	4491	5601
445	4500	5590
446	4509	5578
447	4519	5568
448	4531	5560
449	4539	5547
450	4551	5540
451	4559	5528
452	4567	5515
453	4574	5502
454	4583	5489
455	4590	5476
456	4599	5465
457	4606	5451
458	4615	5440
459	4622	5426
460	4631	5415
461	4639	5402
